Model Name,Model ID
DeepSeek V4 Flash,deepseek/deepseek-v4-flash:free
Gemma 4 26B A4B,google/gemma-4-26b-a4b-it:free
Gemma 4 31B,google/gemma-4-31b-it:free
OpenAI GPT OSS 20B,openai/gpt-oss-20b:free
Qwen3 Coder,qwen/qwen3-coder:free
Qwen3 Next 80B A3B Instruct,qwen/qwen3-next-80b-a3b-instruct:free
Hermes 3 Llama 3.1 405B,nousresearch/hermes-3-llama-3.1-405b:free
Llama 3.2 3B Instruct,meta-llama/llama-3.2-3b-instruct:free
Llama 3.3 70B Instruct,meta-llama/llama-3.3-70b-instruct:free
OpenAI GPT OSS 120B,openai/gpt-oss-120b:free
